Index,Entry Word,Part of Speech,Affix,Definition
947,kirado,adj m,,куван
948,kiral,n m,,сир
949,kiravela,v tr,,скувати
950,kiro,pron poss 2 sg m,,твој
951,kiŕola,v itr,,"кувати, готовити"
952,kirvi,n f,,кума
953,kirvo,n m,,кум
954,kišailo,adj m,,пешчан
955,kišaj,n m,,песак
956,kiselina,n f,,киселина
957,kiseo,adj m,,кисео
958,kišjola,v tr,,"олакшати, ослабити"
959,kišľola,v tr,,ослабити
960,kito,n m,,кит
961,klarineto,n m,,кларинет
962,kľašto,n m,,кљешта
963,kľašto,n m,,клешта
964,klaviro,n m,,клавир
965,klinco,n m,,"чавао, клинац"
966,klisura,n f,,клисура
967,klizala pe,v itr,,клизнути се
968,kliznola pe,v itr,,клизнути
969,klozeto,n m,,"нужник, клозет"
970,kľučola,v itr,,кључати
971,klupa,n f,,клупа
972,knezo,n m,,"кнез, принц"
973,ko,pron int,,ко (тко)
974,ko god,pron indef,,ко год
975,koala,n f,,коала
976,koćak,n f,,дугме
977,kočičo palav e šatra,n phr m,,кочић за шатор
978,kodija šaj,part mod,,то је могуће
979,kodoja,pron dem f,,"та, она"
980,kodolesa,adv caus,,"тиме, помоћу тога"
981,kodova,pron dem m,,"тај, онај"
982,koferi,n m,,кофер
983,kokalo,n m,,кост
984,kokodaila,v itr,,кокодакати
985,kokošiňco,n m,,кокошињац
986,kolako,n m,,колач
987,kolco,n m,,колац
988,kolevka,n f,,колевка
989,koliba,n f,,колиба
990,kolica,n f,,"колица, теретна кола"
991,kolin,n f,,"груди, прси"
992,kolompiri,n m,,кромпир
993,kolopo,n m,,шешир
994,kolunda,n f,,божић
995,kolundaki ŕat,n phr f,,багње вече
996,komado,n m,,комад
997,komarco,n m,,комарац
998,komentari,n m,,"коментар, примедва"
999,kompijuter,n m,,"рачунар, компјутер"
1000,kompletno,adj,,"потпун, комплетан"
1001,komšija,n m,,"1. комшија 2. комшилук, суседство"
1002,konstrukcija,n f,,"конструкциа, грађење"
1003,kontrola,n f,,контрола
1004,kopita,n f,,копито
1005,kopľe [śudimasko],n m,,копље (за бацање)
1006,koprcila pe,v itr,,"оклевати, колебати се"
1007,kopriva,n f,,коприва
1008,kor,n f,,"1. шија, врат 2. грло"
1009,kora,n f,,"љуска, кора"
1010,korako,n m,,корак
1011,koreno,n m,,корен
1012,koresniko,n m,,корисник
1013,koriguila,v tr,,"исправити, кориговати"
1014,korimos,n f,,слепоћа
1015,korisno,adj,,"користан, од помоћи"
1016,korist,n f,,"корист, накнада"
1017,koristila,v tr,,употребити
1018,laćimos,n m,,поштеност
1019,laćo,adj m,,"поштен, честит"
1020,ladžavno,adj m,,"постиђен, посрамљен"
1021,laila,v itr,,лајати
1022,lako,pron poss 3 sg m,,"њен, њезин"
1023,lala,n f,,лала
1024,lama,n f,,лама
1025,lampa,n f,,лампа
1026,lanco,n m,,1. ланац 2. огрлица
1027,lano,n m,,лан
1028,lasica,n f,,лисица
1029,laśipe,n m,,побољшање
1030,laśisi,adv mod,,у реду
1031,laśo,n m,,"добро, корист"
1032,lasta,n f,,ластавица
1033,lavežo,n m,,лавеж
1034,lavo,n m,,лав
1035,laźarela,v tr,,посрамити некога
1036,laźavela pe,v itr,,стидети се
1037,laźavipe,n m,,1. стид 2. срамота
1038,laźo,adj m,,добар
1039,ledeno,adj m,,леден
1040,ledo,n m,,лед
1041,legalno,adj,,законит. легалан
1042,lekavipe,n m,,лакоћа
1043,leko,adv mod,,лако
1044,leko,adj m,,"1. лак, једноставан 2. спор, лаган"
1045,lela,v tr,,"1. узети 2. ухватитит, шчепати 3. добити 4. примити"
1046,lela sama,v itr,,"1. побринути се 2. чувати 3. одбранити, заштитити 4. старати се, пазити 5. бринути"
1047,lela uźile,v phr tr,,позајмити
1048,lela vazduxo,v phr itr,,уздахнути
1049,lengo,pron poss 3 sg m,,њихов
1050,leňivo,adj m,,ленив
1051,leňivost,n m,,ленивост
1052,lesko,adv mod,,лично
1053,lesko,pron poss 3 sg m,,нјегов
1054,lešniko,n m,,лешник
1055,levko,n m,,левак
1056,lićno,adj,,личан
1057,liduj,num,,"оба, обе, обоје"
1058,lil,n m,,"1. књига, писмо, лист, слово 2. пасош"
1059,lilvarno,n m,,писац
1060,limari,n m,,"лимар, водоинсталатер"
1061,limori,n m,,гроб
1062,limuno,n m,,лимун
1063,limunosko soko,n phr f,,лимунада
1064,linija,n f,,"линија, црта"
1065,linipe,n m,,"добитак, профит"
1066,lisco,n m,,лисица (мушки)
1067,lisica,n f,,лисица
1068,lisicako kher,n phr f,,лисичја јазбина
1069,livada,n f,,ливада
1070,lojo,n m,,лој
1071,lokores,adv mod,,"споро, полако"
1072,lolo,adj m,,црвен
1073,lolo,n m,,црвенило
1074,ľoľola,v tr,,поцрвенити
1075,ľoľola,v itr,,поцрвенети
1076,lon,n m,,со(л)
1077,lonco,n m,,"лонац, котао"
1078,londo,adj m,,слан
1079,lonǧarela,v tr,,посолити
1080,loňgarela pe,v itr,,посолити се
1081,lopata,n f,,лопата
1082,lopta,n f,,лопта
1083,losarela,v tr,,"1. бирати, одлучити, изабрати 2. гласати"
1084,losaripe,n f,,"1. бирање, избори 2. селекција, одабирање"
1085,lošo,adj,,"вашљив, ушљив, лош"
1086,lovco,n m,,ловац
1087,love,n f,,"1. новац 2. банкнота, новчаница"
1088,lovila,v tr,,ловити
1089,lovo,n m,,лов
1090,lovore,n f,,"кован новац, новчић"
1091,loza,n f,,винова лоза
1092,ľubičasto,adj m,,љубичасто
1093,ľubičica,n f,,љубичица
1094,ľubomora,n f,,љубомора
1095,ľubomorno,adj m,,"завидљив, љубоморан"
1096,ludaja,n f,,"бундева, тиква"
1097,luine,adv temp,,у понедељак
1098,luja,n f,,понедељак
1099,lula,n f,,лула
1100,luludži,n f,,цвет
1101,lulugi,n f,,цвет
1102,lunǧarela,v tr,,"1. проширити 2. продужити 3. наставити, продужити"
1103,lunǧarela pe,v itr,,1. проширити се 2. продужити се
1104,lungi vŕama,adv temp,,дуго (време)
1105,lunglimos,n m,,"дужина, даљина"
1106,lungo,adj,,"дуги, дугачак (o)"
1107,lungo štrinfa,n phr f,,дуга чарапа
1108,lutaila,v itr,,лутати
1109,lutka,n f,,лутка
1110,mabutivar,num mult,,"много пута, више пута"
1111,maćexa,n f,,маћеха
1112,maćko,n m,,мачак
1113,maćo,n m,,мач
1114,mada,conj,,"мада, иако"
1115,magija,n f,,"врачање, чаролије"
1116,magla,n f,,1. магла 2. измаглица
1117,mahnila e vastesa,v phr itr,,"њихати, махати"
1118,maj  ,adv temp,,још
1119,maj anglal,adv temp,,1. пре 2. раније
1120,maj but,adv mod,,"највише, углавном"
1121,maj but,part sup,,највише
1122,maj cara,adv mod,,најмање
1123,maj cikno,adj m,,"нижи, дољи"
1124,maj dumut,adv temp,,"у давној прошлости, давно"
1125,maj dur,adv loc,,"издалека, удаљено, надалеко"
1126,maj inǩa,adv loc,,"1. касније 2. после, доцније"
1127,maj iňǩa,conj,,после
1128,maj jegdata,adv loc,,још једном
1129,maj jek,adj indef,,још један
1130,maj laśes,adv mod,,боље
1131,majbut,part comp,,више
