Index,Entry Word,Part of Speech,Affix,Definition
2270,zaćiňila o xabe,v tr,,season (with spices)
2271,zadatko,n m,,task
2272,zadňo,pron,,latter
2273,zadovoľila,v tr,,satisfy
2274,zadovoľno,adj,,1. satisfied 2. pleased
2275,zagrlila,v tr,,embrace
2276,zainteresovano,adj,,interested
2277,zajednica,n f,,community
2278,zajedno,adv mod,,together
2279,zakono,n m,,law
2280,źal(tar),v itr,,"go, walk"
2281,źala,v itr,,"go, go away"
2282,źala avri,partv itr,,go out
2283,źala opre,partv itr,,go up
2284,zalasko khamesko,n phr m,,sunrise
2285,žalba,n f,,complaint
2286,zalemila,v tr,,solder
2287,žaľeňe,n m,,regret
2288,žalila pe,v itr,,complain
2289,žalilape,v tr,,regret
2290,zaľubila pe,prefv itr,,fall in love
2291,zamalo,adv mod,,nearly
2292,žambuka,n f,,frog
2293,žambuka krastenca,n phr f,,toad
2294,zamenila,prefv tr,,replace
2295,zamko,n m,,castle
2296,zamolila,prefv tr,,ask for
2297,źamutro,n m,,son-in-law
2298,źanela,v tr,,know
2299,źanglipe,n m,,knowledge
2300,źanglo,adj m,,polite
2301,zanimľivo,adj,,interesting
2302,zapadno,adj m,,western
2303,zapado,n m,,west
2304,zaposlime,adj,,engaged
2305,zapovedila,prefv tr,,order
2306,zapretila,prefv tr,,threaten
2307,zaradila,prefv tr,,earn
2308,žaro,n m,,glow
2309,zaronila,prefv itr,,dive
2310,zaštita,n f,,"protection, care"
2311,zauzeto,adj,,busy
2312,zavanićno,adj,,official
2313,zavisila ,prefv tr,,depend
2314,zavisno,adj,,dependent
2315,zavoji,n m,,bandage
2316,završila,prefv tr,,finish
2317,zaxtevo,n m,,claim
2318,zaxvalila pe,prefv itr,,thank
2319,zaxvalila pe,v itr,,grab
2320,zaxvalnipe,n m,,"gratitude, thankfulness"
2321,zaxvalno,adj,,grateful
2322,žbuňe,n m,,shrubbery
2323,žbunici,n f,,bush
2324,žbuno,n m,,shrub
2325,zdrav,adj m,,healthy
2326,zebra,n f,,zebra
2327,zeja,n f,,back
2328,zeja,n f,,"back, backside"
2329,zeľavola,v itr,,grow green
2330,zelenila,v tr,,make green
2331,zeleno,adj,,green
2332,železnica,n f,,rail
2333,zelija,adj,,green
2334,želila,v tr,,want
2335,žeľno,adj m,,eager
2336,źene,n pl,,people
2337,zenica,n f,,pupil (of the eye)
2338,ženila pe,v itr,,get married
2339,ženime,adj,,married
2340,žeravica,n f,,embers
2341,zetino,n m,,oil
2342,zeveľa,n f,,greaves
2343,zglobo,n m,,wrist
2344,zgodno,adj,,pretty
2345,zgrada,n f,,building
2346,žica,n f,,wire
2347,zidari,n m,,bricklayer (m.)
2348,zidarica,n f,,bricklayer (f.)
2349,zido,n m,,wall
2350,žirafa,n f,,giraffe
2351,živce,n f,,nerve
2352,živo,adj m,,lively
2353,životiňa,n f,,animal
2354,životiňa,n f,,animal
2355,zlag,n f,,earring
2356,zločino,n m,,crime
2357,zloupotreba,n f,,abuse
2358,značaila,v itr,,matter
2359,znako,n m,,sign
2360,znojo,n m,,sweat
2361,žoja,n f,,Thursday
2362,zor,n f,,strength
2363,zora,n f,,1. dawn 2. morning
2364,zova,n f,,elder
2365,zreo,adj m,,ripe
2366,źu,n f,,louse
2367,zubari,n m,,dentist (m.)
2368,zubarica,n f,,dentist (f.)
2369,žučo,n m,,gall
2370,źukel,n m,,dog
2371,źukloro,n m,,puppy
2372,źuli,n f,,Non-Gypsy woman
2373,źulikanipe,n m,,femininity
2374,źulikano,adj m,,"female, feminine"
2375,źulikano,adv mod,,womanly
2376,žumance,n m,,egg yolk
2377,źungado,adj,,awake
2378,źungalo,adj m,,1. ugly 2. nasty
2379,zuralo,adj m,,"1. strong, powerful, mighty 2. solid"
2380,zuŕavol,v itr,,strengthen
2381,žurnalist,n m,,journalist
2382,žutipe,n m,,assistance
2383,źuva,n f,,louse
2384,źuvindo,adj,,alive
2385,zvonila,v itr,,ring
2386,zvono,n m,,bell
2387,zvuko,n m,,sound

