Index,Entry Word,Part of Speech,Affix,Definition
902,guša,n f,,goitre
903,gusako,n m,,gander
904,gusari,n m,,pirate
905,guščari,n m,,lizard
906,guška,n f,,goose
907,gusle,n f pl,,"fiddle, Gusla"
908,gutnini,v tr,,swallow
909,gužva,n f,,crush
910,habe,n m,,"meal, food"
911,hajde,interj,,"let's go, come on"
912,hajka,n f,,"chase, witch-hunt"
913,hak,adv loc,,here
914,hal,v tr,,eat
915,haleva,n m pl,,trousers
916,hanavi,v tr,,1. bury 2. dig
917,handžovi,v tr,,scratch
918,harči,n m,,smith
919,harčikano,adj m,,"forge…, forging…"
920,hari,adv,,little
921,harke,n m pl,,coins
922,harmonika,n f,,accordeon
923,haro,n m,,sword
924,harovi,v tr,,"comb, brush"
925,hasna,n f,,"use, benefit"
926,hazdi,v tr,,lift
927,heco,n m,,joke
928,hede,part comp,,more
929,hederede,adv,,1. better 2. more
930,hektari,n m,,hectare
931,helikopteri,n m,,helicopter
932,her,n m,,"donkey, ass"
933,herni,n f,,female donkey
934,hernori,n f,,female donkey
935,heroji,n m,,heroe
936,heroro,n m,,little donkey
937,hi,v cop itr,,be
938,hi rušto,v phr itr,,be upset
939,hidreder,adv,,"better, more"
940,hiji,v itr,,shit
941,hikano,n m,,spectator
942,hiki,v tr,,1. see 2. watch 3. view
943,hikini,v itr,,stutter
944,hil,v itr,,shit
945,hile,v cop itr,,they are
946,hili,v cop itr,,she is
947,hilo,v cop itr,,he is
948,hilo všeč,v phr itr,,please
949,hinavco,n m,,hypocrite
950,hinavka,n f,,hypocrite
951,hindi,n,,toilet
952,hladilniko,n m,,freezer
953,hladindo,adj,,"shady, shadowy"
954,hladini,v tr,,cool
955,hladno,n m,,"1. shadow, shade 2. chill, coolness"
956,hlado,n m,,"1. shadow, shade 2. chill, coolness"
957,hlapco,n m,,knave
958,hlil,v itr,,shit
959,hlodo,n m,,log
960,hoči,v tr,,want
961,hok,adv loc,,there
962,holeva,n m pl,,trousers
963,hopica,n f,,monkey
964,hrana,n m,,"meal, food"
965,hranini,v tr,,"feed, nourish"
966,hrasto,n m,,1. tree 2. oak
967,hrbtenica,n f,,spine
968,hrčini,v itr,,neigh
969,hreno,n m,,horse raddish
970,hreštanto,n m,,prisoner
971,hrešto,n m,,prison
972,hrga,n f,,1. knob 2. husk
973,hribo,n m,,hill
974,hripavo,adj,,hoarse
975,hripini,v itr,,to be hoarse
976,hromo,adj,,lame
