Index,Entry Word,Part of Speech,Affix,Definition
2574,sedmo,num ord,,sedmi
2575,šeflja,n f,,zajemalka
2576,šefo,n m,,šef
2577,šeftini,v itr,,trgovati
2578,šefto,n m,,"posel, kupčija"
2579,seglih,adv,,enako
2580,seja,n f,,seja
2581,sekereto,n m,,stranišče
2582,sekretari,n m,,"tajnik, sekretar"
2583,sekretarka,n f,,"tajnica, sekretarka"
2584,sektember,n m,,september
2585,sekunda,n f,,sekunda
2586,šele,adv,,šele
2587,selini,v itr,,naseliti (se)
2588,selitva,n f,,"selitev, preselitev"
2589,šelo,n m,,vrv
2590,semafori,n m,,semafor
2591,seme,n m,,seme
2592,senca,n f,,sence
2593,senca,n f,,senca
2594,šenica,n f,,pšenica
2595,šenkini,v tr,,podariti
2596,šepavo,adj,,šepav
2597,šepferka,n f,,zajemalka
2598,šepini,v itr,,šepati
2599,september,n m,,september
2600,septembro,n m,,september
2601,šerand,n m,,blazina
2602,šerano,adj m,,naglaven
2603,šerjako,n m,,klobuk
2604,šero,n m,,glava
2605,šerpo,n m,,srp
2606,šeruno,adj m,,naglaven
2607,sese,n m pl,,policija
2608,sesikano,adj m,,policijski
2609,sesini,v tr,,sesati
2610,sesni,n f,,policistka
2611,seso,n m,,policist
2612,šest,num card,,šest
2613,sestanko,n m,,"sestanek, seja"
2614,sestavini,v tr,,"spojiti, sestaviti"
2615,šestdeset,num card,,šestdeset
2616,šestnajst,num card,,šestnajst
2617,sestrična,n f,,sestrična
2618,setini,v tr,,(ob)čutiti
2619,seveda,part,,seveda
2620,severno,adj,,severen
2621,severo,n m,,sever
2622,seznamo,n m,,seznam
2623,sezona,n f,,"letni čas, sezona"
2624,shajini,v itr,,shajati s/z
2625,šibica,n f,,vžigalica
2626,sigurno,adv,,varno
2627,šihta,n f,,"plast, sloj"
2628,sijajo,n m,,"sijaj, krasota"
2629,sijani,v tr,,1. cediti 2. presejati
2630,sik,adv,,1. kmalu 2. hitro
2631,sik,adv,,hitro
2632,sikado,adj m,,"izobražen, izučen"
2633,sikavi,v tr,,1. učiti 2. pokazati 3. učiti se
2634,sikavi pe,v itr,,učiti se
2635,šil,n f,,mraz
2636,sila,n f,,moč
2637,šilalo,adj m,,mrzel
2638,silini,v tr,,"siliti, prigovarjati"
2639,šilini,v tr,,(o)šiliti
2640,šilipe,n m,,1. mraz 2. mrzlica
2641,šiljakeri,v tr,,ohladiti
2642,šiljako,n m,,klobuk
2643,šiljovi,v itr,,zmrzovati
2644,sime,n m,,seme
2645,šimeljno,n m,,plesen
2646,sinko,n m,,otrok
2647,šipko,n m,,šipek
2648,širako,adj,,širok
2649,širako,adv,,široko
2650,sirena,n f,,sirena
2651,širibe,n m,,"razdelitev, razporeditev"
2652,širina,n f,,širina
2653,širini,v tr,,širiti
2654,sitnarini,v itr,,"sitnariti, tečnariti"
2655,sitno,n m,,"tečnost, sitnost, sitnoba"
2656,sitno,adj,,"siten, tečen"
2657,situacija,n f,,"položaj, situacija"
2658,sivi,v tr,,šivati
2659,šivi,v tr,,šivati
