Index,Entry Word,Part of Speech,Affix,Definition
2290,xaćarol,v tr,,"verstehen, begreifen, fühlen"
2291,xajing,n m,,Quelle
2292,xajing,n m,,Brunnen
2293,xal,v tr,,essen
2294,xal pe,v itr,,streiten
2295,xamil,v tr,,"1. kneten (Teig, usw.) 2. weich machen"
2296,xamil pe,v itr,,weich werden
2297,xamisti,n f,,Kochlöffel
2298,xamisto,n m,,Mischung
2299,xanadi,n f,,1. Haue 2. Schaufel
2300,xanavol,v tr,,kämmen
2301,xanavol,v tr,,begraben
2302,xandžurdol,v itr,,jucken
2303,xandžurdol pe,v itr,,kratzen
2304,xape,n m,,Streit
2305,xaravľi,n f,,Gürtel
2306,xaravol,v tr,,stürzen
2307,xarno,n m,,Kürze
2308,xarno kaputo,n phr m,,Jacke
2309,xasal,v itr,,husten
2310,xasardo,adj m,,verloren
2311,xasardol,v tr,,etw. verlieren
2312,xasardol,v itr,,"verloren gehen, sich verirren"
2313,xasaripe,n m,,Verlust
2314,xasarol,v tr,,verlieren
2315,xićol,v tr,,ermorden
2316,xmeľo,n m,,Hopfen
2317,xndipe,n m,,"Scheiße, Scheißen"
2318,xndol,v itr,,scheißen
2319,xoľariko,adj,,zornig
2320,xoľavol,v itr,,zornig werden
2321,xoľavol,v tr,,beleidigen
2322,xoli,n f,,Trotz
2323,xoxamno,adj m,,falsche
2324,xoxamno,n m,,Lügner
2325,xoxavipe,n m,,1. Scherz 2. Betrug 3. Lüge
2326,xoxavol,v itr,,"lügen, betrügen, täuschen, sich lustig machen"
2327,xrast,n m,,Eiche
2328,xu,n f,,Lücke
2329,xumer,n m,,Teig
2330,xurdo,adj,,winzig
2331,xutipe,n m,,Sprung
2332,xutol,v itr,,"hüpfen, springen"
2333,xuv,n f,,Loch
2334,xuvol,v tr,,nähen
2335,zabava,n f,,Spaß
2336,zabrinol pe,v itr,,sich sorgen
2337,zabrinome,adj,,"beunruhigt, besorgt"
2338,začinil o xabe,v tr,,würzen
2339,zadatko,n m,,Aufgabe
2340,zadruga,n f,,Genossenschaft
2341,zagrlil,v tr,,umarmen
2342,zainteresovano,adj,,interessiert
2343,zajebavil pe,v itr,,scherzen
2344,zajebavil pe,v itr,,"narren, spaßen"
2345,zaklopco,n m,,Deckel
2346,žalba,n f,,Beschwerde
2347,zalemil,v tr,,löten
2348,žalil,v tr,,bedauern
2349,žalil pe,v itr,,sich beklagen
2350,zalogajo,n m,,"Bissen, Mundvoll"
2351,zaľubil pe,v itr,,sich verlieben
2352,zamalo,adv mod,,beinahe
2353,žambuka,n f,,1. Frosch 2. Kröte
2354,žambuka krastenca,n phr f,,Kröte
2355,zamenil,v tr,,ersetzen
2356,zamko,n m,,Schloss
2357,zanimľivo,adj,,interessant
2358,zao,adj,,gierig
2359,žaoka,n f,,Stachel
2360,zapadno,adj,,westlich
2361,zapado,n m,,Westen
2362,zapovedil,v tr,,"bestellen, befehlen"
2363,zapretil,v tr,,bedrohen
2364,zar,n f,,Haar
2365,zaŕa,n pl,,Rotz
2366,žaro,n m,,"Schein, Leuchten"
2367,zavisi,n,,Neid
2368,zavisil,v tr,,abhängen von
2369,zavisno,adj,,abhängig
2370,zavoj,n m,,Verband
2371,zaxvalno,adj,,dankbar
2372,zbog,prep,,wegen
2373,žbuňe,n m,,"Gebüsch, Strauch, Busch"
2374,zbunil,v tr,,verwirren
2375,zebra,n f,,Zebra
2376,zeja,n f,,Rücken
2377,zeleno,n m,,Grünzeug
2378,železnica,n m,,"Eisenbahn, Geleise"
2379,železnička pruga,n phr f,,Eisenbahn
2380,želuco,n f,,Magen
2381,zemľoradniko,n m,,"Landwirt, Ackerbauer, Bauer"
2382,zenica,n f,,Pupille
2383,žeravica,n f,,Glut
2384,zetino,n m,,Öl
2385,zeveľ,n f,,Grammeln
2386,zevesa,n f,,Vorhang
2387,zevil,v itr,,gähnen
2388,zgodno,adj,,hübsch
2389,zgrada,n f,,Gebäude
2390,zgusnil,v itr,,dick werden
2391,žica,n f,,1. Draht 2. Saite
2392,zidari,n m,,Maurer
2393,zidarka,n f,,Maurerin
2394,zido,n m,,"Mauer, Wand"
2395,židojka,n f,,Jüdin
2396,židovo,n m,,Jude
2397,židovo,adj,,jüdisch
2398,žirafa,n f,,Giraffe
2399,žito,n m,,Korn
2400,živčano,adj,,nervös
2401,živco,n m,,Nerv
2402,životiňa,n f,,Tier
2403,zločino,n m,,Verbrechen
2404,zloupotreba,n f,,Beschimpfung
2405,zmajo,n m,,Flugdrachen
2406,značeňe,n m,,Bedeutung
2407,značil,v itr,,bedeuten
2408,znako,n m,,Zeichen
2409,znojil pe,v itr,,schwitzen
2410,znojo,n m,,Schweiß
2411,zobo,n m,,Hafer
2412,žoj,n m,,Donnerstag
2413,zoľa,n f,,1. Biene 2. Wespe
2414,zor,n f,,1. Macht 2. Stärke 3. Mut
2415,zova,n f,,Holunder
2416,zubari,n m,,Zahnarzt
2417,zubarka,n f,,Zahnärztin
2418,žuč,n f,,Galle
2419,žumance,n m,,Eigelb
2420,zuralo,adj m,,"stark, mächtig, hart, fest, gewaltig, tapfer"
2421,zuŕarol,v tr,,"verstärken, sichern, festlegen"
2422,žurnalisto,n m,,Journalist
2423,žutipe,n m,,Hilfe
2424,žvaćil,v tr,,kauen
2425,zvanično,adj,,offiziell
2426,zviždil,v itr,,pfeifen
2427,zvonil,v itr,,läuten
2428,zvono,n m,,Glocke
2429,zvučil,v itr,,Klang

