Index,Entry Word,Part of Speech,Affix,Definition
724,gomila,n f,,"гомила, хрпа"
725,gonko,n m,,ходник
726,gono,n m,,"1. джак, врећа 2. кеса, торба"
727,gostinsko soba,n phr f,,гостинска соба
728,gostioničarka,n f,,крчмарица
729,gostioničaro,n m,,крчмар
730,gosto,n m,,гост
731,gra,n m,,коњ
732,grabľa,n f,,"грабље, грабуље"
733,grabuľa,n f,,"грабље, грабуље"
734,gradňa,n f,,"конструкциа, грађење"
735,grado,n m,,"град, туча"
736,gramatika,n f,,граматика
737,granica,n f,,граница
738,graško,n m,,грашак
739,grast,n m,,коњ
740,grebeno,n m,,гребен
741,greška,n f,,"грешка, заблуда"
742,grešno,adj,,грешан
743,grexo,n m,,грех
744,grino,adj,,зелен
745,grino,n,,зелен
746,grinol,v itr,,позеленити
747,grinol,v tr,,озеленити
748,griža,n f,,"1. брига, интерес 2. забринутост"
749,grmil,v itr,,грми
750,grobo,n m,,гроб
751,gromo,n m,,"1. муња, гром 2. грмљавина"
752,grubo,adj,,"груб, неуљудан"
753,grupa,n f,,група
754,gučil,v itr,,гакати
755,guda,pron dem m,,"тај, онај"
756,gudaja,pron dem f,,"та, она"
757,gudaleja,adv caus,,"тиме, помоћу тога"
758,gugľarol,v tr,,"засладити, осладити"
759,guglipe,n m,,"1. мед 2. чоколада, колач"
760,guglo,adj m,,сладак
761,guglo kuruzo,n phr m,,слатки кукуруз
762,gumica,n f,,гумица
763,gunajeski,n f,,"1. канта 2. ведро, кофа, кабао"
764,gunoj,n m,,1. ђубре 2. смеће
765,gurumňako mas,n phr m,,говеђина
766,gurumňako obor,n phr m,,кравља стаја
767,gurumňi,n f,,крава
768,guruv,n m,,"1. стока, марва 2. во(л)"
769,guruvoro,n m,,теле
770,gusano,n m,,гусан
771,gusenica,n f,,гусеница
772,guska,n f,,гуска
773,gušteri,n m,,гуштер
774,gusto,adj,,"густ, збијен, чест"
775,hačares,adv mod,,јасно
776,hakh,n m,,прање
777,halal,v tr,,опрати
778,haľina,n f,,хаљина
779,hanadi,n f,,мотика
780,hanamika,n f,,пријатељ
781,hanavol,v tr,,копати
782,hando,n m,,јарам
783,haravol,v tr,,"1. скидати га 2. разоткрити, скинути капу 3. узбудити, нарушити"
784,haravol e cipeľa,v phr tr,,скинути ципеле
785,hasna,n f,,интерес
786,hićimos,n m,,умор
787,hičome,adj,,уморан
788,hodniko,n m,,ходник
789,hoteli,n m,,хотел
790,hrvatica,n f,,хрватица
791,huda,conj,,"тај, који, да"
792,humanitarno žutipe,n phr m,,хуманитарно помоћ
793,huvici,n m,,качамак
794,ideja,n f,,идеја
795,igračka,n f,,играчка
796,igralište,n m,,игралиште
797,ikona,n f,,икона
798,ilesko nasvalipe,n phr m,,болест од срца
799,ilo,n m,,"1. срце 2. дух, душа"
800,ilovača,n f,,иловача
801,importantno,adv mod,,значајно
802,iňa,num card,,девет
803,iňato,num ord,,девети
804,iňavaredš,num card,,деведесет
805,inćarol o nazor,v phr tr,,"контролисати, водити надзор"
806,inďarol,v tr,,"1. донети, носити 2. возити 3. (на)водити 4. одржати, водити"
807,infrakt,n m,,инфракт
808,inkalol,v tr,,"1. извадити, извући 2. произвести 3. навући, извадити, потегнути"
809,inklistipe,n m,,излаз
810,inklol avri,partv itr,,"изићи, изаћи"
811,institucija,n f,,"институција, установа"
812,instrumento,n m,,"инструмент, оруђе"
813,intereso,n m,,интерес
814,ipak,adv mod,,"ипак, поред тога"
815,iscelil,prefv tr,,"излечити, исцелити"
816,iscrpil,prefv itr,,исцрпсти
817,iscrpľeno,adj,,исцрпљен
818,iskusno,adj,,искусан
819,ispito,n m,,испит
820,ispovedil,prefv tr,,"признати, исповедити"
821,ispraznil,prefv itr,,"1. испразнити 2. (по)срати, испразнити црева"
822,isto,prep,,"као, слично"
823,isto,adv mod,,"једнако, подједнако"
824,isto,adj,,"једнак, раван, подједнак, исти"
825,istočno,adj,,источни
826,istoko,n m,,исток
827,istorija,n f,,историја
828,istorijsko,adj,,историјски
829,italijano,n m,,италијан
830,iv,n m,,снег
831,ivend,n m,,зима
832,ivica,n f,,"ивица, ошстрица"
833,izazvil,prefv tr,,изазвати
834,izbrusil,prefv tr,,избрусити
835,izdral,prefv itr,,"јечати, стењати"
836,izdržil,prefv tr,,издржати
837,izgledil,prefv itr,,"чинити се, изгледати"
838,izgledo,n m,,1. изглед 2. појава
839,izmaglica,n f,,измаглица
840,iznenada,adv mod,,"неочекивано, изненада"
841,iznenadil,prefv tr,,изненадити
842,iznenadime,adj,,изненађен
843,iznenadipe,n m,,изненађење
844,iznudil,prefv tr,,"присилити, изнудити"
845,izračunil,prefv tr,,израчунати
846,izrazo,n m,,израз
847,izveštaj,n m,,извештај
848,izvori,n m,,извор
849,jag,n f,,"1. ватра, огањ 2. пламен"
850,jagali,n f,,1. цигарета 2. лампа
851,jagalo,adj m,,"ватрен, огњен"
852,jaglika,n f,,јагорчевина
853,jakh,n f,,око
854,jakhako kapko,n phr f,,очни капак
855,jakna,n f,,"жакет, кратак капут"
856,jama,n m,,јама
857,januari,n m,,јануар
858,jaši,n,,јахање
859,jašil,v itr,,јахати
860,jasno,adj,,"јасан, ведар, светао"
861,jasvin,n f,,суза
862,javil,v tr,,"саопштити, јавити"
863,jecil,v itr,,јечати
864,ječmo,n m,,јечам
865,jednogrbaći kamila,n phr f,,једногрба камила
866,jedro,n m,,једро
867,jedva,adv mod,,једва
868,jekh,num card,,један
869,jekh avre,pron,,један другога
870,jekh avreja,adv phr mod,,заједно
871,jekh bi avresko,pron,,један без другог
872,jekh ďes,adv phr indef,,једног дана
873,jekh palaj avreste,n phr,,"ред, низ"
874,jekh pašaj avreste,n phr,,"упоређење, сравњење"
875,jekto,adv temp,,прво
876,jekto,num ord,,први
877,jela,n f,,јела
878,jelen,n m,,јелен
879,jeleno,n m,,јелен
880,jer,conj,,јер
881,jertisarol,v tr,,опростити
882,jetra,n f,,јетра
883,jeza,n f,,језа
884,jezercuja,n f,,"језерце, рибњак"
885,jezero,n m,,језеро
886,ježo,n m,,јеж
887,jokhar,adv mod,,"само, једино"
888,jokhar,num mult,,"једанпут, једном"
889,jokhar,num mult,,једном
890,jokhar ando ďes,adv phr temp,,(свако)дневно
891,jokhar ando kurko,adv phr temp,,недељно
892,još,adv mod,,још
893,još cra,adv phr mod,,"1. скоро, умало 2. ускоро"
894,još jokhar,adv phr temp,,још једном
895,jova,n f,,joвa
896,jugo,n m,,југ
897,jugoslavija čhindape,n phr,,бивша Југославија
898,Jugoslovenka,n f,,Југословенка
899,julo,n m,,јул
900,juno,n m,,јун
901,južno,adj,,јужни
902,kabor,adj int,,колико
903,kada,n f,,када
904,kaj,adv int,,"куда, где"
905,kaj,adv indef,,игде
906,kaj godi,adv phr indef,,где год
907,kajil pe,v itr,,покајати се
908,kajmako,n m,,кајмак
909,kak,n m,,стриц
910,kaľarol pe,v itr,,поцрнети
911,kalce,n pl,,панталоне
912,kaldrma,n f,,пут
913,kali,n f,,кафа
914,kali purum,n phr f,,лук
915,kalipe,n m,,црноћа
916,kalo,adj m,,црн
917,kalupo,n m,,калуп
918,kamavipe,n m,,1. љубав 2. жеља
919,kamijono,n m,,камион
920,kamila,n f,,камила
921,kamol,v tr,,"1. волети, уживати у, дивити се, обожавати 2. хтети, желети, жудети"
922,kamol te ćerol,v phr tr,,намеравати
923,kan,n m,,уво
924,kana,adv int,,када
925,kana,conj,,када
926,kana godi,adv phr indef,,кад год
927,kanali,n m,,канал
928,kanalizacija,n f,,канализација
929,kancelarija,n f,,"канцеларија, биро"
930,kandilo,n m,,кандило
931,kandža,n f,,канджа
932,kangli,n f,,1. чешаљ 2. четка
933,kangro,n m,,кост од рибе
934,kanoro,n m,,увце
935,kanta,n f,,"1. ведро, кофа, кабао 2. канта 3. корпа, кош"
936,kap,n m,,кап
937,kapetano,n m,,капетан
938,kapija,n f,,капија
939,kaputo,n m,,"1. капут, мантил 2. сако"
940,kar,n m,,пенис
941,karing-koring,adv phr loc,,тамо-вамо
942,karnevalo,n m,,карневал
943,kaš,n m,,"1. дрво 2. дрво (материјал) 3. клада, пањ, цепаница"
944,kasao,adj int,,"такав, онакав"
945,kašetski drakh ,n phr f,,винова лоза
946,kasko,pron int,,чији
947,kasno,adv temp,,касно
948,kašt,n m,,"1. дрво 2. дрво (материјал) 3. клада, пањ, цепаница"
949,kaštuno,adj m,,дрвен
950,kat,n f,,"маказе, ножице"
951,katar,prep,,"од, из"
952,katar,adv int,,одакле
953,katar,adv loc,,одавде
954,katar,conj,,"отдада, од"
955,katar akana,adv phr temp,,од сада
956,katar e vŕama džikaj e vŕama,adv phr temp,,од времена до врмена
957,katar guda,adv phr temp,,отада
958,katrina,n f,,прегача
959,kaubojo,n m,,каубој
960,kav čer,adv phr loc,,код куће
961,kav thaj kav,pron indef,,овај и овај
962,kava brš,adv phr temp,,ове године
963,kava ivend,adv phr temp,,ове зиме
964,kava milaj,adv phr temp,,овог лета
965,kazano,n m,,"казан, котао"
966,kazgodi,pron indef,,неко
967,kazna,n f,,"казна, такса"
968,kaznil,v tr,,казнити
969,kazom,adv indef,,колико
970,kazom,adj int,,колико
971,keceľa,n f,,"кецеља, прегача"
972,keľo,n m,,кељ
973,khajňako mas,n phr m,,пилеће месо
974,khajňi,n f,,"кокошка, пиле"
975,khak,n f,,пазухо
976,kham,n m,,сунце
977,khameski svetlost,n phr,,сунчана светлост
978,khamesko,n m,,светлост
979,khandipe,n m,,смрад
980,khanďiri,n f,,црква
981,khandol,v itr,,смрдети
982,khangro,n m,,трн
983,khanikaske,pron indef,,никоме
984,khate,adv loc,,овде
985,khonik,pron indef,,нико
986,khosol,v tr,,обрисати
987,khotar,adv loc,,отуда
988,khote,adv loc,,тамо
989,khuj,n m,,лакат
990,khul,n m,,"измет, екскремент"
991,khur,n f,,пета
992,khura,n f,,пета
993,khuŕori,n f,,кобила
994,khuroro,n m,,"1. ждребац, пастух 2. ждребе"
995,khuvol,v tr,,"завити, увити"
996,khuvol e korpe,v phr tr,,плеcти корпе
997,kičma,n f,,кичма
998,kifla,n f,,кифла
999,kijil,v itr,,кијати
1000,kilometar,n m,,километар
1001,kilometro,n m,,километар
1002,kitil pe,v tr,,китити
1003,kito,n m,,кит
1004,klagija,n f,,оклагија
1005,klanica,n f,,кланица
1006,klarineto,n m,,кларинет
1007,kľašto,n m,,кљешта
1008,klaviri,n m,,клавир
1009,klečil,v itr,,клецати ?
1010,kleknil,v itr,,клекнути
1011,klešto,n m,,клешта
1012,klino,n m,,"клин, клинац"
1013,klisuŕa,n f,,клисура
1014,kliznol,v itr,,клизнути (се)
1015,klizol pe,v itr,,скијати се
1016,kľuno,n m,,кљун
1017,ko,pron int,,ко (тко)
1018,ko godi,pron indef,,ко год
1019,koala,n f,,коала
1020,kočaj,n m,,кочај
1021,kočak,n f,,дугме
1022,kočići palaj care,n phr,,кочић за шатор
1023,kočina,n f,,свињац
1024,kockasto,adj m,,коцкаст
1025,koja,pron dem f,,ова
1026,kokalo,n m,,кост
1027,kokil,v tr,,испећи
1028,kokodačil,v itr,,кокодакати
1029,kokošinco,n m,,кокошињац
1030,kola,pron dem m pl,,ови
1031,kolako,n m,,колач
1032,kolco,n m,,колац
1033,kolevka,n f,,колевка
1034,koliba,n f,,колиба
1035,kolica,n f,,"колица, теретна кола"
1036,koľivo,n m,,жито
1037,kolompiri,n m,,кромпир
1038,kolonizacija,n f,,колонизација
1039,komanda,n f,,команда
1040,komandanto,n m,,командант
1041,komentari,n m,,"коментар, примедва"
1042,kompjuteri,n m,,"рачунар, компјутер"
1043,kompoto,n m,,компот
1044,koncerto,n m,,концерт
1045,konferencija,n f,,конференција
1046,konobari,n m,,келнер
1047,konobarica,n m,,келнерица
1048,kontakto,n m,,"уговор, контракт"
1049,kontrola,n f,,контрола
1050,kopili,n m,,копиле
1051,kopľe,n m,,копље
1052,kor,n f,,1. шија 2. грло
1053,kora,n f,,"љуска, кора"
1054,korako,n m,,корак
1055,koreno,n m,,корен
1056,korisniko,n m,,корисник
1057,korisno,adj,,"користан, од помоћи"
1058,koristo,n m,,"корист, накнада"
1059,korito,n m,,"корито, олук"
1060,korkore,adv mod,,"сам, насамо"
1061,korkoripe,n m,,самоћа
1062,korkoro,adj m,,"1. осамљен, усамљен 2. независан, одвојен, посебан"
1063,korňača,n f,,корњача
1064,koro,adj m,,слеп
1065,koro šimijako,n phr m,,"шишмиш, слепи миш"
1066,korodiril,v itr,,"зарђати, кородирати"
1067,korovo,n m,,коров
1068,korpa,n f,,корпа
1069,kosa,n f,,коса (оруђе)
1070,kosil,v tr,,косити
1071,košnica,n f,,кошница
1072,koso,n m,,кос
1073,Kosovo,n m,,Косово
1074,koštica,n f,,костица
1075,košuta,n f,,кошута
1076,kotor,n m,,"1. комад 2. део 3. тканина, штоф 4. платно 5. сукно"
1077,kotrľil,v itr,,"ваљати, котрљати"
1078,kova,pron dem m,,овај
1079,kovači,n m,,ковач
1080,kovačnica,n f,,ковачница
1081,kovaďi,adv temp,,"прекјуче, дан пре тога"
1082,kovanca,n f,,наковањ
