Index,Entry Word,Part of Speech,Affix,Definition
1286,kamla pes,v phr,,it is necessary
1287,kamla pes ,v,,need
1288,kamlo,n m,,"1. lover 2. sweetheart, loved one"
1289,kan,n m,,ear
1290,kana,pron int,,when
1291,kana,conj,,"if, when"
1292,kana,n f,,"1. can, jug, pot 2. mug"
1293,kana te ovel,adv phr,,whenever
1294,kanalo,n m,,source
1295,kanarla,pron int,,since when
1296,kandel,v tr,,listen
1297,kangli,n f,,comb
1298,kaninel,v tr,,invite
1299,kanzavuri,n m,,hedgehog
1300,kapaki,n m,,"1. trap, trap-door 2. lid"
1301,kapinel,v,,drop
1302,kapka,n f,,drop
1303,kapladiba,n m,,1. folding 2. wrapping
1304,kapladime,adj,,1. folded 2. wrapped
1305,kapladinel,v tr,,"fold, wrap up"
1306,kar,n m,,penis
1307,kardarašija,n pl,,Roma-group (non sedentary Roma)
1308,karel,v,,release
1309,karfi,n m,,"nail, tack"
1310,karfin,n m,,"nail, tack"
1311,karig,prep,,"in direction, to"
1312,karig,pron rel,,"where, there, where"
1313,karik,pron rel,,"where, there, where"
1314,karik ,adv loc,,"1. here, on this side 2. in this direction, towards"
1315,karik bleljate,adv phr temp,,"towards evening, late in the afternoon, at dusk"
1316,karik ko,prep,,toward
1317,karîg,prep,,"in direction, to"
1318,karnavali,n m,,carnival
1319,kařo,n m,,1. thorn 2. thorny shrub
1320,karpa,n f,,handkerchief
1321,kaš,n m,,1. tree 2. wood (material) 3. stick
1322,kasa,n f,,"1. cash box, cash register 2. safe"
1323,kaskandžipe,n m,,jealousy
1324,kaskandžis,n m,,jealous person
1325,kaškime,adj,,"mashed, squashed, crushed"
1326,kaškinel,v tr,,"mash, squash, crush"
1327,kaskoro,pron int,,whose
1328,kaštalo,adj m,,wooden
1329,kastar,pron int,,from who
1330,kaste,pron int,,who(m)
1331,kaštořo,n m,,"little piece of wood, chopped wood"
1332,kaštuni rig,n phr m,,branch
1333,kaštuni rig,n phr f,,bough
1334,kaštunjovel,v tr,,stiffen
1335,kaštuno,adj m,,wooden
1336,kašukeste,adv,,silently
1337,kašuki lulugi,n phr m,,dandelion
1338,kašukipe,n m,,deafness
1339,kašukjovel,v itr,,become deaf
1340,kašuko,adj m,,deaf
1341,kašuko,adj m,,deaf
1342,kat,n f,,scissors
1343,katar,pron int,,where from
1344,katar,conj,,since
1345,katar,pron int,,where
1346,katar,adv loc,,this way
1347,katar,prep,,"from, with help from, with, because of, through, ´accusative´"
1348,katar akana ,adv phr,,from now on
1349,katar andral,adv phr,,from inside
1350,katar avdive,adv phr,,from today
1351,katar aver rig,adv phr,,on the other side
1352,katar avrjal,adv phr,,from outside
1353,katar irati,adv phr,,since yesterday
1354,katar teluno,adv phr,,from below
1355,kate,pron int,,where
1356,kate,pron rel,,(there) where
1357,kate ko,pron int,,where to
1358,kate te,adv phr temp,,"wherever, there where"
1359,katêki,n,,"economy, thrift"
1360,katel,v tr,,spin
1361,katerica,n f,,squirrel
1362,katka,adv loc,,here
1363,katkinel,v,,cackle
1364,katli,n f,,spindle
1365,katlo,n m,,"yarn, thread"
1366,kato,conj,,"for, because, finally"
1367,katrandžis,n m,,tar-seller
1368,katrandžisko,adj m,,(of a) tar-seller
1369,katranji,n m,,tar
1370,katuni,n m,,tent
1371,kavakos,n m,,poplar
1372,kavedžis,n m,,coffee house owner
1373,kaves,n m,,1. coffee 2. coffee house
1374,kavka,pron dem m,,pron.dem.m.
1375,kaxni,n f,,"chicken, hen"
1376,kaxni,n f,,chicken
1377,kaxnjakoro mas,n phr,,chicken meat
1378,kaxnjano,adj m,,chicken-
1379,kaxnori,n f,,chick
1380,kazani,n m,,cauldron
1381,kefi,n m,,pleasure
1382,kêlconel,v tr,,mash
1383,kêlvači,n m,,woodpecker
1384,kenefi,n m,,toilet
