Index,Entry Word,Part of Speech,Affix,Definition
3397,xaro,n m,,sword
3398,xarotiko them,n phr,,Saxony
3399,xas,n m,,cough
3400,xasel,v itr,,cough
3401,xasepen,n m,,"flu, influenza, bronchitis"
3402,xasêvel ,v itr,,cough
3403,xaven,n m,,"food, dish, fodder"
3404,xaxeske,adv mod,,"1. for fun 2. feignedly, allegedly"
3405,xaxi,adv mod,,"allegedly, feignedly"
3406,xeb,n f,,"1. hole, cavity, pit 2. vagina 3. buttock, arse"
3407,xelêdi,n f,,lover (female)
3408,xeledo,n m,,lover (male)
3409,xelêdo,n m,,lover (male)
3410,xemaskeri,n f,,toilet
3411,xep,n f,,"1. hole 2. buttock, arse"
3412,xev,n f,,"1. hole 2. buttock, arse"
3413,xevro,n m,,"hare, rabbit"
3414,xib,n m,,lid
3415,ximaskri,n f,,latrine
3416,xinamaskari,n f,,toilet
3417,xindego,adj m,,bored
3418,xindi,n f,,"seal, stamp, signet"
3419,xindo,n m,,"seal, stamp"
3420,xinel ,v itr,,"1. shit (vulgar) 2. deceive, cheat"
3421,xinel pes,v itr,,shit oneself (diarrhoea)
3422,xinêmaskêri,n f,,toilet
3423,xinêpen,n m,,diarrhoea
3424,xinêvel ,v itr,,"1. shit (vulgar) 2. deceive, cheat"
3425,xistari,n f,,"box, cabinet, chest, drawer"
3426,xiv,n m,,lid
3427,xoel,v itr,,"cry, weep"
3428,xojamen,adj,,angry
3429,xojemen,adj,,angry
3430,xojêmen,adj,,angry
3431,xojêpen,n m,,"envy, anger"
3432,xojerel,v tr,,"tease, bug, bother"
3433,xojêrmen,adj,,angry
3434,xojêrpen,n m,,"envy, anger"
3435,xojevel,v tr,,"tease, bug, bother"
3436,xoji,n f,,anger
3437,xojrel ,v tr,,"tease, bug, bother"
3438,xolab,n m,,trousers
3439,xoleb,n m,,trousers
3440,xolebranto,n m,,pair of long underpants
3441,xolep,n m,,trousers
3442,xoli,n f,,"anger, rage"
3443,xoli,n f,,"anger, rage"
3444,xolib,n m,,trousers
3445,xolin,n f,,"anger, rage, chagrin"
3446,xolinjakêro,adj m,,angry
3447,xoliv,n m,,trousers
3448,xolome,adj,,angry
3449,xoluv,n m,,trousers
3450,xomêr,n m,,bread crumb
3451,xomêrdo,adj m,,"1. smashed 2. rotten, decayed, mouldered"
3452,xomêrel ,v tr,,"shatter, crush, smash"
3453,xomêreskêro,n m,,bread
3454,xomeri,n m,,inner part of bread
3455,xomêrvel ,v tr,,"shatter, crush, smash"
3456,xor,adj m,,deep
3457,xorêpen,n m,,"depth, abyss"
3458,xoro,adj m,,deep
3459,xosa,n f,,"trench, small valley"
3460,xoxapen,n m,,"lie, cheating, deceit, adulteration, forgery"
3461,xoxarel,v tr,,"lie, deceive, chet"
3462,xoxeba,n m,,lie
3463,xoxel ,v itr,,"lie, deceive, cheat, deny"
3464,xoxeno,adj m,,"mendacious, dishonest, false"
3465,xoxêno,adj m,,"mendacious, dishonest, false"
3466,xoxêno lil,n phr,,false passport
3467,xoxêpaskêro,n m,,"liar, false witness"
3468,xoxepen,n m,,lie
3469,xoxêpen,n m,,lie
3470,xoxevel,v itr,,"lie, deceive, cheat, deny"
3471,xoxêvel ,v itr,,"lie, deceive, cheat, deny"
3472,xoxobe,n m,,lie
3473,xoxoč,n m,,"maize, corn"
3474,xoxrel,v tr,,"deceive, tell a lie"
3475,xoza,n f,,trousers (like in French and German the plural form is used)
3476,xrovax,n m,,bread crumb
3477,xujelo,n m,,traveller (non-Gypsy)
3478,xujli,n,,"woman (non-Gypsy), man (non-Gypsy)"
3479,xujlo,n m,,"1. non-Gypsy, peasant 2. master (of a servant, animal,estates)"
3480,xumar,n m,,inner part of bread
3481,xurdi,n f,,chaff
3482,xurdin,n f,,chaff
3483,xurdo,adj m,,small
3484,xuxur,n m,,mushroom
3485,xvilo,n m,,traveller (non-Gypsy)
3486,zaca,n f,,coffee grounds
3487,zafta,n f,,"juice, fruit juice"
3488,zajgel,v tr,,"sieve, filter"
3489,zajlego,adj m,,drunk
3490,zajta,n f,,chord (of a violin/guitar)
3491,zajtiko,adj m,,"silk, silken"
3492,zajto,n m,,silk
3493,zalba,n f,,"salve, cream"
3494,zalcemen,adj,,salted
3495,zalckrumpir,n,,salt potatoes
3496,žame gar,adv phr,,never
3497,zameto,n m,,velvet
3498,zamlunga,n f,,congregation (evangelical)
3499,zanta,n f,,sand
3500,zatla,n f,,saddle
3501,zatlego,adj m,,"roundbellied, having a big belly (so big, that it reminds of a saddle)"
3502,zauvrepen,n m,,"cleanness, neatness, orderliness, reputability"
3503,zeca,n f,,law
3504,zeca,n f,,osier stake (for basket weaving)
3505,zecel,v tr,,"make a basket, weave a basket"
3506,zega,n f,,saw
3507,zegel,v tr,,saw
3508,zegel tele,partv,,chop down (with a saw)
3509,zejlego,adj m,,drunk
3510,zel ,n f,,"soul, dead person"
3511,zelbar,adv mod,,oneself
3512,zelego,n m,,dead person
3513,zelego,adj m,,drunk
3514,zen,n f,,saddle
3515,zeneli lizarta,n phr,,green lizard
3516,zenelo,adj m,,green
3517,zenêlo,adj m,,green
3518,zenfeta,n f,,mustard
3519,zengeri,n f,,pistol
3520,zenglesa,n f,,(stinging) nettle
3521,zenglo,adj m,,crazy
3522,zenlepen,n m,,"greenery, green vegetables"
3523,zerbes,adv mod,,"on the left, left"
3524,zerbo,adj m,,left
3525,zero,n m,,"1. pond, lake 2. sea"
3526,zerves,adv loc,,left
3527,zervo,adj m,,left
3528,zi,n m,,heart
3529,zian,adj,,guilty
3530,ziervo,adv loc,,left
3531,ziervo,adj m,,left
3532,ziga,n f,,sieve
3533,zigel,v tr,,"sieve, filter"
3534,zila,n f,,reins (on the harness)
3535,zilbel,v itr,,be jealous
3536,zilbepen,n m,,jealousy
3537,zinda,n f,,"sin, shame, bad luck"
3538,zindari,n m,,sinner
3539,zingel,v tr/itr,,"1. drive in (nail), hammer in (nail) 2. sink, sink in"
3540,zingemen tele,adj,,"battered in, sunken"
3541,zinkel,v tr/itr,,"1. drive in (nail), hammer in (nail) 2. sink, sink in"
3542,zis,adj,,sweet
3543,zixel vri,partv,,"fade, wither (plants), languish (human beings, animals), waste away (human beings, animals)"
3544,zixla,n f,,sickle
3545,zjan,n f,,"1. accusation, suspicion 2. debts, credit"
3546,zo lang,adv phr,,as long as
3547,zojbar,adj,,"clean, nice, decent, well-educated"
3548,zojbrepen,n m,,"cleanness, neatness, orderliness, reputability"
3549,zoko,n m,,sock
