Index,Entry Word,Part of Speech,Affix,Definition
662,grasnjandivola,v itr,,1. to start to fancy younger members of the opposite sex at an advanced age 2. to go gaga with age / at an advanced age (to become horny with age / at an advanced age)
663,grast,n m,,horse
664,grnari,adv,,1. talkative 2. quarrelsome
665,grnari,adj,,1. talkative 2. quarrelsome
666,grnja,n f,,"gossip, tattle, babble"
667,gruni,n m,,pig
668,gudlipe,n m,,"sweet, candy"
669,gudlo,adj m,,"sweet, nice"
670,gula,n f,,throat
671,gurbeti,n m,,foreign parts
672,gürgeni,n m,,rake
673,guruv,n m,,1. cattle 2. ox
674,guruvano,adj m,,cattle…
675,guruvni,n f,,cow
676,guša,n f,,goitre
677,haberi ,n m,,message
678,hade ,interj,,come on
679,hajvani ,n m,,animal
680,hala,n f,,father's sister (aunt)
681,hamami,n m,,Turkish bath
682,hamčinela,v itr,,sneeze
683,hamsis ,n m,,sardella
684,hamsiskhandela,v itr,,smell of sardella
685,handžis,n m,,land-lord
686,hani,n m,,inn
687,hank,adv temp,,just now
688,harami,adv mod,,forbidden
689,hastanes,n m,,hospital
690,hazîri,adv mod,,"done, ready"
691,Hederlezi ,n m,,festival of St. George
692,hedijes,n m,,gift
693,hem,adv,,"also, besides"
694,hendeki,n m,,ditch
695,hep ,adv,,always
696,her,pron indef,,"every, each"
697,her dives,adv temp,,daily
698,Herdelezi,n m,,festival of St. George
699,hič ,pron indef,,nothing
700,hič ,adv temp,,never
701,hidžekhšej,pron indef,,nothing
702,hinti ,adj,,Indian
703,hismekari ,n m,,servant
704,hîzîri ,n m,,angel of God (appearing as an old man)
705,hrumbula,n f,,"big hole, pit"
706,hulila ,v itr,,"go down, descend"
707,hurjala ,v itr,,fly
708,hurjola,v itr,,fly
709,i,art def f sg,,the (fem.)
710,ič ,adv temp,,never
711,ič ,pron indef,,nothing
712,idares,n m,,administration
713,idžekhšej,pron indef,,nothing
714,idži,adv temp,,yesterday
715,idžijarola,adv temp,,since yesterday
716,iji,part mod,,o.k.
717,ilači,n m,,medicine
718,inandinela,v tr,,believe
719,inšati,n m,,construction site
720,inti,adj,,Indian
721,ipeklida,n f,,silk
722,ipsoninela,v tr,,shop
723,irima,n f,,"rest, silence"
724,isi,v cop,,"he/she is, they are"
725,iska,n f,,heartburn
726,iškemba,n f,,tripe
727,ismekari,n m,,servant
728,istalinela,v itr,,slumber
729,ištar,num card,,four
730,ištar jakhendžar,v phr,,impatient
731,ištimani,n f,,certain kind of men's underwear
732,ixladin,n f,,blackberry
733,izdrala,v itr,,shiver
734,izdrani,n f,,shiver
735,izguri,n m,,rust
736,îzîri ,n m,,angel of God (appearing as an old man)
737,ja,conj,,or
738,ja...ja,conj,,either…or
739,jabandžis,n m,,foreigner
740,jak,n f,,fire
741,jakh,n f,,eye
742,jala,interj,,let's go
743,jarano,adj m,,"ruined, wrecked"
744,jaras,n m,,"sore, wound"
745,jardîmi,n m,,help
746,jardîmi kerela,v phr,,help
747,jarjara,n f,,gurgle
748,jašamaki,n m,,life
749,jasan,n f,,whetstone
750,jataki,n m,,bed
751,jatros,n m,,physician
752,jaudis,n m,,Jew
753,jaudka,n f,,Jew
754,javer,pron indef,,"another, the other"
755,javin,adv temp,,tomorrow
756,javinaskoro,adv temp,,in the morning
757,javinatar,adv temp,,in the morning
758,javudis,n m,,Jew
759,javudka,n f,,Jew
760,jazdinela,v tr,,write
761,jazdiskerela,v tr,,"make sb. write, have sth. written"
762,jekh,art indef sg,,a
763,jekh ,num card,,one
764,jekhšej,pron indef,,something
765,ješili,adj,,green
766,jilo,n m,,1. stomach 2. heart
767,jorgani,n m,,quilt
768,ka,pron int,,where
769,ka,pron rel,,"who, which, that"
770,ka,conj,,"that, so that"
771,ka,conj,,when
772,ka,part fut,,Future
773,kabor,pron int,,how many
774,kabuli kerela,v phr,,allow
775,kadindivola,v itr,,smoulder
776,kados,n m,,smoke
777,kafe-hani,n m,,coffee house
778,kaferengi,adj,,brown
779,kafes,n m,,coffee
780,kahijas,n m,,"foreman, caretaker"
781,kahvehani,n m,,coffee-house
782,kaj,pron int,,where
783,kaj,conj,,"that, so that"
784,kaj,pron rel,,"who, which, that"
785,kaja,pron dem f,,"this, which"
786,kajasîs,n m,,apricot
787,kajiki,n m,,"boat, ship"
788,kajmos,n m,,"trouble, worry"
789,kajrola,n f,,bedstead
790,kak,n m,,uncle
791,kakaraška,n f,,"raven, crow"
792,kalabalîki,n m,,1. big crowd (of people) 2. increased activity
793,kalami,n m,,reed
794,kalimbeki,n m,,"corn, maize"
795,kaliva,n f,,reed hut
796,kaljardo,n m,,African
797,kaljarela,v tr,,make black
798,kaljola,v itr,,"become black, turn black"
799,kalo,adj m,,"1. black, dark 2. dark skinned"
800,kalo pampuri,n phr,,1. steam locomotive 2. train
801,kamata,n f,,interest (money)
802,kamčiki,n m,,whip
803,kamjoneti,n m,,minibus
804,kampana,n f,,1. bell 2. church
805,kan,n m,,ear
806,kana,pron int,,when
807,kana,conj,,when
808,kana,adv temp,,then
809,kandîskerela,v tr,,1. persuade 2. make sb. jealous
810,kandro,n m,,"thorn, sting"
811,kanistra,n f,,flat basket
812,kanîkla,n f,,pomegranate
813,kanîklilin,n f,,pomegranate-tree
814,kanuri,adv,,new
815,kanzavura,n f,,hedgehog
816,kanzavuri,n m,,hedgehog
817,kapnja,n f,,mould
818,kapnjakerela,v tr,,let sth. turn mouldy
