Index,Entry Word,Part of Speech,Affix,Definition
1471,rudžêňake,adv,,осенью
1472,rudžinêl,v itr,,ржаветь
1473,rup,n m,,серебро
1474,rupovo,adj m,,серебряный
1475,sabê,n m,,1. шутка 2. смех
1476,šabľa,n f,,сабля
1477,sabnîtko,adj,,смешной
1478,sado,n m,,сад
1479,sadžinêl,v tr,,садить (растение)
1480,sadzî,n f,,сажа
1481,šago,n m,,шаг
1482,sal-pê,v itr,,1. смеяться 2. улыбаться
1483,saľa,n,,слюна
1484,šalalo,adv,,холодно
1485,salato,n m,,салат
1486,samaľoto,n m,,самолет
1487,sandlî mina,n phr f,,улыбка
1488,sano,adj m,,"утонченный, тонкий"
1489,sap,n m,,змея
1490,sapanîbê,n m,,влажность
1491,sapano,adj m,,"мокрый, влажный"
1492,sapaňol,v tr,,намочить
1493,saplîn,n f,,змея (самка)
1494,sapuni,n f,,мыло
1495,šarandunî,n f,,подушка
1496,šarandunori,n f,,диванная подушка
1497,šarduno,n m,,хвастун
1498,sarê,pron indef,,все
1499,sarêdujenge,adv,,обоюдно
1500,šarêl,v tr,,хвалить
1501,sarêndê butyr,part sup,,больше всего
1502,sarêsa,adv,,"1. вечно 2. совершенно, совсем"
1503,šaribê,n m,,похвала
1504,saro,adv,,полностью
1505,saro,pron indef,,всё
1506,sasčakirdo,adj,,исцеленный
1507,sasčakirêl,v tr,,лечить
1508,sasčakiribê,n m,,лечение
1509,sastêr,n m,,1. железо 2. метал
1510,saštî,v,,1. мочь 2. можно
1511,saštî,adj,,способный
1512,sastîpê,n m,,здоровье
1513,sasto,adj m,,здоровый
1514,sastrunê lovê,n phr,,монета
1515,sastruno drom,n phr m,,железная дорога
1516,sašty,part,,"может, можно"
1517,sašty tê jal,adv phr,,"может быть, возможно"
1518,sašty tê jal,part,,1. может быть 2. возможно
1519,saunakuno,adj m,,золотой
1520,savari,n m,,уздечка
1521,savato,n m,,суббота
1522,savatonê,adv temp,,в субботу
1523,savê časostê,adv phr,,с каких пор
1524,savo,pron int,,"какой, который, какой, кто"
1525,savo-to,pron indef,,некий
1526,šax,n f,,капуста
1527,ščana,n f,,стена
1528,sčoka,n f,,щека
1529,sčoto,n m,,счет
1530,sčuro,n m,,"мышь, крыса"
1531,seinêl,v tr,,"сеять, просеивать"
1532,sekunda,n f,,секунда
1533,šêl,num card,,сто
1534,šêl moly,num mult,,сто раз
1535,šêlto,num ord,,сотый
1536,semena,n pl,,семя
1537,sêmênca,n f,,родственник
1538,semjja,n f,,семья
1539,sêňka,n f,,"сук, ветка"
1540,senťabŕo,n m,,сентябрь
1541,šêptînêl,v itr,,шептать
1542,šêro,n m,,голова
1543,šêro palal,n phr m,,затылок
1544,seŕozno,adj,,серьезный
1545,severno,adj,,северный
1546,severo,n m,,север
1547,sigarêta,n m,,сигарета
1548,simiri,n m,,кожа (отделанная)
1549,šiňakirêl,v tr,,окрашивать в синий цвет
1550,šiňo,adj,,синий
1551,šiňol,v itr,,синеть
