Index,Entry Word,Part of Speech,Affix,Definition
1989,trad,n f,-ja/-ja,jump
1990,tradel,v tr,-ď/-d,"race, send away"
1991,trajizel,v itr,-ď/-d,quieten
1992,trajos,n m,-ja/-os,quietness
1993,traš,n f,-adês/-as,fear
1994,trašal,v itr,-ľ/-l,be scared
1995,trašavel,v tr,-ď/-d,scare
1996,trašavnes,adv mod,,"tremulously, cowardly"
1997,trešavi,n m,-ja/-es,tether (for animals)
1998,trešavladijel,v tr,-ď/-îmê,"wrap up, entangle"
1999,treska,n f,-ja/-ja,"fever, malaria"
2000,trijanda,num card,,thirty
2001,trijandato,num ord,,thirtieth
2002,trijandujekh,num card,,thirty one
2003,trin,num card,,three
2004,trito,num ord,,third
2005,trival,num mult,,three times
2006,trušalo,adj m,,sb. who is thirsty
2007,trušaľol,v itr,-iľ/—,be thirsty
2008,trušas,n m,,pickled vegetables
2009,tu,pron pers 2 sg,,you
2010,tubuki,n m,-ja/-es,ankle
2011,ťufeki,n m,-ja/-es,rifle
2012,tumaro,pron poss 2 sg m,,your
2013,tume,pron pers 2 pl,,you
2014,tumladijel,v itr,-ď/-îmê,"sock, lay it"
2015,ťurľundijel,v tr,-ď/-îmê,"bulge (belly, chest etc.)"
2016,turnas,n m,-adês/-as,"coffin, grave-clothes"
2017,turuni,n m,-ja/-es,grandson
2018,turunisa,n f,-ja/-ja,granddaughter
2019,ťusi,n m,,colour
2020,tustabani,adj,,"blushless, dishonorable, abominable"
2021,ťušundijel,v itr,-ď/-îmê,think
2022,tutuni,n m,-ja/-es,tobacco
2023,tuvardijel,v tr,-ď/-îmê,unharness
2024,ťuveni,adj,,known
2025,tuxumi,n m,-ja/-es,relative
2026,tuz,n f,-ja/-ja,burning
2027,tuzal,v itr,-ľ/-l,"burn, scorch (skin of a body)"
2028,ućakerel,v tr,-ď/-d,"make sth. high, heighten"
2029,učes,adv mod,,highly
2030,ućharďol,v itr,-iľ/—,cover oneself (with blanket etc.)
2031,ućharel,v tr,-ď/-d,"cover, put laps/clothes' ends on top of each other"
2032,učipe,n m,-imatês/-imas,"height, growth"
2033,ućo,adj m,,high
2034,ućol,v itr,-iľ/—,grow high
2035,udar,n m,-a/-ês,door
2036,udar udareste,adv phr loc,,next door (e.g. live next door to sb.)
2037,udźarďol,v itr,-iľ/—,be expected
2038,udźarel,v tr,-ď/-d,"wait for, expect"
2039,udźuzi,adj,,cheap
2040,undijel,v itr,-ď/-îmê,"get an opportunity, begin to live"
2041,ungi,n f,-ja/-ja,"nail, claw"
2042,uŕaipe,n m,-imatês/-imas,putting on
2043,uŕal,v itr,-ľ/-l,fly
